timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674559585160,2465,BGCA home page,200,OK,BGCA Thread Group 1-2,text,true,,96075,114,15,15,https://www.bgca.org/,1697,0,985
1674559585695,2201,BGCA home page,200,OK,BGCA Thread Group 1-6,text,true,,96075,114,15,15,https://www.bgca.org/,1657,0,885
1674559585563,2578,BGCA home page,200,OK,BGCA Thread Group 1-5,text,false,"The operation lasted too long: It took 2,578 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,1794,0,804
1674559585430,3054,BGCA home page,200,OK,BGCA Thread Group 1-4,text,false,"The operation lasted too long: It took 3,054 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2527,0,809
1674559585026,3582,BGCA home page,200,OK,BGCA Thread Group 1-1,text,false,"The operation lasted too long: It took 3,582 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2835,0,1104
1674559585829,2794,BGCA home page,200,OK,BGCA Thread Group 1-7,text,false,"The operation lasted too long: It took 2,794 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2291,0,777
1674559585960,2708,BGCA home page,200,OK,BGCA Thread Group 1-8,text,false,"The operation lasted too long: It took 2,708 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2181,0,807
1674559586092,2586,BGCA home page,200,OK,BGCA Thread Group 1-9,text,false,"The operation lasted too long: It took 2,586 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,2058,0,842
1674559586225,2663,BGCA home page,200,OK,BGCA Thread Group 1-10,text,false,"The operation lasted too long: It took 2,663 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,15,15,https://www.bgca.org/,1903,0,793
1674559587649,1457,About Us,200,OK,BGCA Thread Group 1-2,text,true,,96906,122,15,15,https://www.bgca.org/about-us,1180,0,0
1674559585293,3852,BGCA home page,200,OK,BGCA Thread Group 1-3,text,false,"The operation lasted too long: It took 3,852 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,14,14,https://www.bgca.org/,3088,0,833
1674559586626,2533,BGCA home page,200,OK,BGCA Thread Group 1-13,text,false,"The operation lasted too long: It took 2,533 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,14,14,https://www.bgca.org/,1758,0,797
1674559586491,2696,BGCA home page,200,OK,BGCA Thread Group 1-12,text,false,"The operation lasted too long: It took 2,696 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,14,14,https://www.bgca.org/,1950,0,810
1674559588494,866,About Us,200,OK,BGCA Thread Group 1-4,text,true,,96906,122,14,14,https://www.bgca.org/about-us,843,0,0
1674559586757,2852,BGCA home page,200,OK,BGCA Thread Group 1-14,text,false,"The operation lasted too long: It took 2,852 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,13,13,https://www.bgca.org/,2076,0,807
1674559586889,2758,BGCA home page,200,OK,BGCA Thread Group 1-15,text,false,"The operation lasted too long: It took 2,758 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,13,13,https://www.bgca.org/,1951,0,822
1674559588152,1518,About Us,200,OK,BGCA Thread Group 1-5,text,true,,96906,122,13,13,https://www.bgca.org/about-us,1259,0,0
1674559588616,1166,About Us,200,OK,BGCA Thread Group 1-1,text,true,,96906,122,12,12,https://www.bgca.org/about-us,908,0,0
1674559587907,2089,About Us,200,OK,BGCA Thread Group 1-6,text,true,,96906,122,11,11,https://www.bgca.org/about-us,1834,0,0
1674559588632,1477,About Us,200,OK,BGCA Thread Group 1-7,text,true,,96906,122,10,10,https://www.bgca.org/about-us,1462,0,0
1674559586358,3808,BGCA home page,200,OK,BGCA Thread Group 1-11,text,false,"The operation lasted too long: It took 3,808 milliseconds, but should not have lasted longer than 2,500 milliseconds.",96075,114,9,9,https://www.bgca.org/,3054,0,814
1674559588679,1703,About Us,200,OK,BGCA Thread Group 1-8,text,true,,96906,122,9,9,https://www.bgca.org/about-us,1442,0,0
1674559588688,1775,About Us,200,OK,BGCA Thread Group 1-9,text,true,,96906,122,8,8,https://www.bgca.org/about-us,1517,0,0
1674559588898,1635,About Us,200,OK,BGCA Thread Group 1-10,text,true,,96906,122,7,7,https://www.bgca.org/about-us,1386,0,0
1674559589167,1449,About Us,200,OK,BGCA Thread Group 1-13,text,true,,96906,122,6,6,https://www.bgca.org/about-us,1174,0,0
