timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.67456E+12,2405,BGCA home page,200,OK,BGCA Thread Group 1-7,text,TRUE,,96075,114,15,15,https://www.bgca.org/,1925,0,987
1.67456E+12,3060,BGCA home page,200,OK,BGCA Thread Group 1-5,text,FALSE,"The operation lasted too long: It took 3,060 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2537,0,1267
1.67456E+12,2617,BGCA home page,200,OK,BGCA Thread Group 1-9,text,TRUE,,96075,114,15,15,https://www.bgca.org/,2082,0,796
1.67456E+12,3350,BGCA home page,200,OK,BGCA Thread Group 1-3,text,FALSE,"The operation lasted too long: It took 3,350 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2805,0,1556
1.67456E+12,3747,BGCA home page,200,OK,BGCA Thread Group 1-1,text,FALSE,"The operation lasted too long: It took 3,747 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2965,0,1732
1.67456E+12,3207,BGCA home page,200,OK,BGCA Thread Group 1-6,text,FALSE,"The operation lasted too long: It took 3,207 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2413,0,1138
1.67456E+12,2997,BGCA home page,200,OK,BGCA Thread Group 1-8,text,FALSE,"The operation lasted too long: It took 2,997 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2159,0,890
1.67456E+12,3561,BGCA home page,200,OK,BGCA Thread Group 1-4,text,FALSE,"The operation lasted too long: It took 3,561 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2761,0,1405
1.67456E+12,2728,BGCA home page,200,OK,BGCA Thread Group 1-12,text,FALSE,"The operation lasted too long: It took 2,728 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,1982,0,776
1.67456E+12,2970,BGCA home page,200,OK,BGCA Thread Group 1-10,text,FALSE,"The operation lasted too long: It took 2,970 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2196,0,887
